date,activity,exercise,set_index,weight_kg,reps,per_hand,equipment,duration_minutes,distance_km,notes
2025-09-08,力量训练,俯卧撑,1,,7,false,自重,,,按感觉完成
2025-09-08,力量训练,俯卧撑,2,,3,false,自重,,,按感觉完成
2025-09-08,力量训练,俯卧撑,3,,1,false,自重,,,按感觉完成
2025-09-08,力量训练,哑铃卧推,1,8,10,true,哑铃,,,每手8kg
2025-09-08,力量训练,哑铃卧推,2,8,10,true,哑铃,,,每手8kg
2025-09-08,力量训练,哑铃卧推,3,8,10,true,哑铃,,,每手8kg
2025-09-08,力量训练,哑铃肩推,1,8,4,true,哑铃,,,
2025-09-08,力量训练,哑铃肩推,2,7,7,true,哑铃,,,
2025-09-08,力量训练,哑铃肩推,3,6,5,true,哑铃,,,
2025-09-08,力量训练,椅上臂屈伸,1,,10,false,自重,,,
2025-09-08,力量训练,椅上臂屈伸,2,,10,false,自重,,,
2025-09-08,力量训练,椅上臂屈伸,3,,10,false,自重,,,
2025-09-08,力量训练,面拉,1,7,15,false,滑轮,,,"机器刻度30lb，2:1估算把手≈7kg"
2025-09-08,力量训练,面拉,2,7,15,false,滑轮,,,"机器刻度30lb，2:1估算把手≈7kg"
2025-09-09,攀岩,综合,,,,,攀岩,180,,未标注馆内/户外
2025-09-10,跑步,户外跑步,,,,,跑步,,3,路线未标注
2025-10-13,力量训练,哑铃卧推,1,12,10,true,哑铃,,,每手12kg
2025-10-13,力量训练,哑铃卧推,2,12,10,true,哑铃,,,每手12kg
2025-10-13,力量训练,哑铃卧推,3,12,10,true,哑铃,,,每手12kg
2025-10-13,力量训练,哑铃肩推,1,8,10,true,哑铃,,,每手8kg
2025-10-13,力量训练,哑铃肩推,2,8,10,true,哑铃,,,每手8kg
2025-10-13,力量训练,哑铃肩推,3,8,10,true,哑铃,,,每手8kg
2025-10-13,力量训练,椅上臂屈伸,1,,10,false,自重,,,
2025-10-13,力量训练,椅上臂屈伸,2,,10,false,自重,,,
2025-10-13,力量训练,椅上臂屈伸,3,,10,false,自重,,,
2025-10-13,力量训练,面拉,1,12,12,false,滑轮,,,
2025-10-13,力量训练,面拉,2,12,12,false,滑轮,,,
